100,0.6,cuckoo_based_hash
1000,3.8,cuckoo_based_hash
10000,34.8,cuckoo_based_hash
100000,487.2,cuckoo_based_hash
1000000,5021.8,cuckoo_based_hash
100,0.2,stl_hash_join
1000,1.8,stl_hash_join
10000,17.0,stl_hash_join
100000,169.3,stl_hash_join
1000000,1698.1,stl_hash_join
100,1.3,sparse_hash_join
1000,17.4,sparse_hash_join
10000,169.9,sparse_hash_join
100000,1458.7,sparse_hash_join
1000000,18155.5,sparse_hash_join
100,0.3,dense_hash_join
1000,2.8,dense_hash_join
10000,36.5,dense_hash_join
100000,322.5,dense_hash_join
1000000,2817.2,dense_hash_join
