RETURN_O_ID;RETURN_O_ENTRY_D;RETURN_O_CARRIER_ID;Timestamp;N;Repetition;TimeInMsec;DataSetSizeInByte;DataSetSizeInGigaByte
9738204;2055455730;8;1485530703;534066664;6;21798442528;23498933216;21.885086
9738204;2055455730;8;1485530777;534066664;7;22906048434;23498933216;21.885086
9738204;2055455730;8;1485530848;534066664;8;20571420466;23498933216;21.885086
9738204;2055455730;8;1485530920;534066664;9;21301856659;23498933216;21.885086
9270858;791519760;0;1485531021;600699997;0;43046258776;26430799868;24.615601
9270858;791519760;0;1485531121;600699997;1;39543928425;26430799868;24.615601
9270858;791519760;0;1485531223;600699997;2;39838228136;26430799868;24.615601
9270858;791519760;0;1485531324;600699997;3;39431078214;26430799868;24.615601
9270858;791519760;0;1485531425;600699997;4;39569718077;26430799868;24.615601
9270858;791519760;0;1485531526;600699997;5;38698033734;26430799868;24.615601
9270858;791519760;0;1485531627;600699997;6;40573338125;26430799868;24.615601
9270858;791519760;0;1485531726;600699997;7;37888410942;26430799868;24.615601
9270858;791519760;0;1485531829;600699997;8;39223495806;26430799868;24.615601
9270858;791519760;0;1485531930;600699997;9;40039611900;26430799868;24.615601
9554266;916518297;7;1485532056;667333330;0;58693312427;29362666520;27.346115
9554266;916518297;7;1485532185;667333330;1;57416311854;29362666520;27.346115
9554266;916518297;7;1485532314;667333330;2;57073386615;29362666520;27.346115
9554266;916518297;7;1485532443;667333330;3;57675759477;29362666520;27.346115
9554266;916518297;7;1485532570;667333330;4;54783967226;29362666520;27.346115
9554266;916518297;7;1485532702;667333330;5;60237537649;29362666520;27.346115
9554266;916518297;7;1485532834;667333330;6;57674348715;29362666520;27.346115
9554266;916518297;7;1485532965
