Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;Q3TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1485919019;300000;34;220601;2963296;354027;28800000;5040000;1208;150;ColumnStore
1485919019;300000;34;221500;1964443;1075143;28800000;5040000;1208;150;RowStore
1485919019;300000;35;180341;2475116;369709;28800000;5040000;1208;150;ColumnStore
1485919019;300000;35;206841;1925647;1827787;28800000;5040000;1208;150;RowStore
1485919020;300000;36;292613;3051117;379523;28800000;5040000;1208;150;ColumnStore
1485919020;300000;36;186461;1538099;2084147;28800000;5040000;1208;150;RowStore
1485919020;300000;37;197365;2891940;517756;28800000;5040000;1208;150;ColumnStore
1485919020;300000;37;212963;1540575;1873399;28800000;5040000;1208;150;RowStore
1485919020;300000;38;216556;2822711;391638;28800000;5040000;1208;150;ColumnStore
1485919020;300000;38;256473;1710319;1016385;28800000;5040000;1208;150;RowStore
1485919020;300000;39;242705;2542179;320923;28800000;5040000;1208;150;ColumnStore
1485919020;300000;39;191609;1671827;1266843;28800000;5040000;1208;150;RowStore
1485919020;300000;40;208041;2876962;358357;28800000;5040000;1208;150;ColumnStore
1485919020;300000;40;246382;1619520;1303430;28800000;5040000;1208;150;RowStore
1485919020;300000;41;237199;2533612;672781;28800000;5040000;1208;150;ColumnStore
1485919021;300000;41;224023;1835282;1459171;28800000;5040000;1208;150;RowStore
1485919021;300000;42;446381;3166697;371853;28800000;5040000;1208;150;ColumnStore
1485919021;300000;42;188179;2374768;1385359;28800000;5040000;1208;150;RowStore
1485919021;300000;43;194301;3947709;411386;28800000;5040000;1208;150;ColumnStore
1485919021;300000;43;202952;1412749;1548171;28800000;5040000;1208;150;RowStore
1485919021;300000;44;206702;2630551;373650;28800000;5040000;1208;150;ColumnStore
1485919021;300000;44;230864;1989726;1641466;28800000;5040000;1208;150;RowStore
1485919021;300000;45;218939;2811113;702337;28800000;5040000;1208;150;ColumnStore
1485919021;300000;45;187228;1702994;1456568;28800000;5040000;1208;150;RowStore
1485919021;300000;46;256774;3037605;385201;28800000;5040000;1208;150;ColumnStore
1485919021;300000;46;209220;2587272;1564323;28800000;5040000;1208;150;RowStore
1485919022;300000;47;183377;2764134;358242;28800000;5040000;1208;150;ColumnStore
1485919022;300000;47;213268;1441013;1320396;28800000;5040000;1208;150;RowStore
1485919022;300000;48;194891;2777166;467234;28800000;5040000;1208;150;ColumnStore
1485919022;300000;48;208611;1525692;1277275;28800000;5040000;1208;150;RowStore
1485919022;300000;49;180297;2748497;456925;28800000;5040000;1208;150;ColumnStore
1485919022;300000;49;253285;2094361;1365351;28800000;5040000;1208;150;RowStore
1485919023;1790000;0;271415;4566627;1286949;171840000;30072000;1208;150;ColumnStore
1485919023;1790000;0;236027;1686962;7557754;171840000;30072000;1208;150;RowStore
1485919024;1790000;1;212040;4502100;1523705;171840000;30072000;1208;150;ColumnStore
1485919024;1790000;1;198067;1268238;6902259;171840000;30072000;1208;150;RowStore
1485919025;1790000;2;224262;4834237;1433167;171840000;30072000;1208;150;ColumnStore
1485919025;1790000;2;198147;3244277;6136411;171840000;30072000;1208;150;RowStore
