Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte
1485894917;134200;13;3352959;5086236;12883200;3220800000;799224
1485894923;134200;14;4455510;8031609;12883200;3220800000;799656
1485894930;134200;15;3798896;6590238;12883200;3220800000;800696
1485894935;134200;16;3260934;6377323;12883200;3220800000;800064
1485894942;134200;17;4322136;6321084;12883200;3220800000;799352
1485894948;134200;18;3097155;5158713;12883200;3220800000;800352
1485894954;134200;19;3208437;7739822;12883200;3220800000;798552
1485894961;167500;0;3354139;6779609;16080000;4020000000;799600
1485894969;167500;1;6767496;14636959;16080000;4020000000;798136
1485894977;167500;2;3488336;8523042;16080000;4020000000;800064
1485894984;167500;3;4909415;7491511;16080000;4020000000;800576
1485894992;167500;4;4933913;6837626;16080000;4020000000;799040
1485895000;167500;5;3624345;11071771;16080000;4020000000;798376
1485895008;167500;6;6906759;6352569;16080000;4020000000;799824
1485895016;167500;7;4339351;6918809;16080000;4020000000;799576
1485895024;167500;8;6401075;7053749;16080000;4020000000;800240
1485895031;167500;9;3172109;8940008;16080000;4020000000;799616
1485895039;167500;10;4773620;8534017;16080000;4020000000;800008
1485895047;167500;11;5550787;8570821;16080000;4020000000;798560
1485895055;167500;12;3699399;6755983;16080000;4020000000;800128
1485895063;167500;13;3580207;8021252;16080000;4020000000;800120
1485895071;167500;14;5321178;7092819;16080000;4020000000;800144
1485895078;167500;15;3504955;8606238;16080000;4020000000;799648
1485895086;167500;16;4059140;7976790;16080000;4020000000;799632
1485895094;167500;17;3831840;6474083;16080000;4020000000;799368
1485895101;167500;18;4040600;9464333;16080000;4020000000;800568
1485895109;167500;19;3758196;7314630;16080000;4020000000;800776
1485895119;200800;0;3665727;7173014;19276800;4819200000;800896
1485895128;200800;1;9055045;13950292;19276800;4819200000;801792
1485895137;200800;2;4486486;7979669;19276800;4819200000;800640
1485895147;200800;3;4367631;7015041;19276800;4819200000;800832
1485895156;200800;4;3457516;8356787;19276800;4819200000;801432
1485895164;200800;5;3495469;7946993;19276800;4819200000;798984
1485895174;200800;6;6779504;9862323;19276800;4819200000;798616
1485895183;200800;7;5600838;12863871;19276800;4819200000;801400
1485895192;200800;8;3925051;9531527;19276800;4819200000;800224
1485895201;200800;9;3850475;7932016;19276800;4819200000;800144
1485895211;200800;10;4288604;7138996;19276800;4819200000;800144
1485895220;200800;11;3402494;8606593;19276800;4819200000;799352
1485895229;200800;12;4601684;6961960;19276800;4819200000;800696
1485895239;200800;13;6064923;8047556;19276800;4819200000;798976
1485895248;200800;14;3582321;7293247;19276800;4819200000;799528
1485895257;200800;15;5007609;7295163;19276800;4819200000;801880
1485895266;200800;16;5509132;8327576;19276800;4819200000;799784
1485895275;200800;17;5264096;7423493;19276800;4819200000;799016
1485895284;200800;18;3917768;7706739;19276800;4819200000;800528
1485895293;200800;19;5287035;8916148;19276800;4819200000;799672
1485895304;234100;0;5808244;8616888;22473600;5618400000;800832
1485895314;234100;1;5430839;8019220;22473600;5618400000;799032
1485895324;234100;2;6098250;7576279;22473600;5618400000;799504
1485895336;234100;3;5364446;7903329;22473600;5618400000;798920
1485895346;234100;4;4611040;8887172;22473600;5618400000;801272
1485895357;234100;5;4467285;8205310;22473600;5618400000;799792
1485895368;234100;6;4724821;9543892;22473600;5618400000;799912
1485895379;234100;7;3815274;7547894;22473600;5618400000;799656
1485895389;234100;8;5489994;8136659;22473600;5618400000;800744
1485895400;234100;9;3951179;8988273;22473600;5618400000;799792
1485895411;234100;10;4980073;8573037;22473600;5618400000;799504
1485895422;234100;11;4469637;8248901;22473600;5618400000;801360
1485895433;234100;12;5158215;10578539;22473600;5618400000;799592
1485895444;234100;13;4304980;7456942;22473600;5618400000;799792
1485895454;234100;14;5634219;8448452;22473600;5618400000;799360
