Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;Type
1485896060;1000;0;2022549;3597797;96000;24000000;799696;ColumnStore
1485896060;1000;0;2185006;2142332;96000;24000000;799472;RowStore
1485896060;1000;1;1663591;1660654;96000;24000000;799016;ColumnStore
1485896060;1000;1;2446900;2164606;96000;24000000;801264;RowStore
1485896060;1000;2;1752018;4045125;96000;24000000;799472;ColumnStore
1485896060;1000;2;1906319;1634640;96000;24000000;798768;RowStore
1485896060;1000;3;1778381;1786029;96000;24000000;799632;ColumnStore
1485896060;1000;3;1921890;1647012;96000;24000000;800160;RowStore
1485896060;1000;4;1997534;2097194;96000;24000000;801208;ColumnStore
1485896060;1000;4;1837870;1588729;96000;24000000;799112;RowStore
1485896060;1000;5;1351795;1658279;96000;24000000;799256;ColumnStore
1485896060;1000;5;1973523;1744776;96000;24000000;800088;RowStore
1485896060;1000;6;1685046;1598349;96000;24000000;799224;ColumnStore
1485896060;1000;6;1842943;1547415;96000;24000000;800344;RowStore
1485896060;1000;7;1853153;1599787;96000;24000000;799384;ColumnStore
1485896060;1000;7;1752722;1544244;96000;24000000;799840;RowStore
1485896060;1000;8;1427719;1605486;96000;24000000;799688;ColumnStore
1485896061;1000;8;1979359;1589515;96000;24000000;799632;RowStore
1485896061;1000;9;1672800;1832251;96000;24000000;799720;ColumnStore
1485896061;1000;9;1819685;1620844;96000;24000000;800432;RowStore
1485896061;1000;10;1498481;1593958;96000;24000000;798992;ColumnStore
1485896061;1000;10;1745955;1577660;96000;24000000;800984;RowStore
1485896061;1000;11;1959117;2471887;96000;24000000;801640;ColumnStore
1485896061;1000;11;2022819;1863462;96000;24000000;801648;RowStore
1485896061;1000;12;2604456;2997101;96000;24000000;800968;ColumnStore
1485896061;1000;12;1902229;1633267;96000;24000000;800192;RowStore
1485896061;1000;13;1444311;1668173;96000;24000000;799976;ColumnStore
1485896061;1000;13;2114029;2284419;96000;24000000;799416;RowStore
1485896061;1000;14;1407019;1850358;96000;24000000;800768;ColumnStore
1485896061;1000;14;2743427;3247513;96000;24000000;799984;RowStore
1485896061;1000;15;1430402;1623437;96000;24000000;799944;ColumnStore
1485896061;1000;15;2004059;1548912;96000;24000000;800520;RowStore
1485896061;1000;16;1457191;1608372;96000;24000000;801672;ColumnStore
1485896061;1000;16;1908467;1597752;96000;24000000;799944;RowStore
1485896061;1000;17;1380513;2438692;96000;24000000;800296;ColumnStore
1485896061;1000;17;1863862;1636981;96000;24000000;799952;RowStore
1485896061;1000;18;1574460;3824630;96000;24000000;801080;ColumnStore
1485896061;1000;18;1865922;1618780;96000;24000000;799320;RowStore
1485896061;1000;19;1755605;1676566;96000;24000000;798928;ColumnStore
1485896061;1000;19;2291651;2163135;96000;24000000;801400;RowStore
1485896063;34300;0;2306993;2957711;3292800;823200000;801368;ColumnStore
1485896064;34300;0;3634542;8026956;3292800;823200000;799960;RowStore
1485896066;34300;1;2631914;5456509;3292800;823200000;800784;ColumnStore
1485896067;34300;1;4758266;9419887;3292800;823200000;799672;RowStore
1485896069;34300;2;2883611;3041153;3292800;823200000;800152;ColumnStore
1485896070;34300;2;5600005;10661305;3292800;823200000;800680;RowStore
1485896072;34300;3;2658498;3000858;3292800;823200000;800872;ColumnStore
1485896073;34300;3;5544132;9053436;3292800;823200000;799728;RowStore
1485896075;34300;4;2464830;5036670;3292800;823200000;800032;ColumnStore
1485896076;34300;4;4640440;8336518;3292800;823200000;801400;RowStore
1485896078;34300;5;2414056;5934510;3292800;823200000;799656;ColumnStore
1485896079;34300;5;3899762;7031244;3292800;823200000;800224;RowStore
1485896080;34300;6;2739766;3612118;3292800;823200000;799744;ColumnStore
1485896082;34300;6;5527539;8916306;3292800;823200000;802112;RowStore
1485896083;34300;7;2307663;2900329;3292800;823200000;799448;ColumnStore
1485896085;34300;7;5353062;8689623;3292800;823200000;799880;RowStore
1485896086;34300;8;3048041;5664568;3292800;823200000;799392;ColumnStore
1485896088;34300;8;4722801;12264782;3292800;823200000;800032;RowStore
1485896089;34300;9;2708972;6949524;3292800;823200000;800344;ColumnStore
1485896091;34300;9;5032369;9514163;3292800;823200000;800600;RowStore
1485896092;34300;10;2501377;3078590;3292800;823200000;799744;ColumnStore
1485896093;34300;10;5027696;10816267;3292800;823200000;800408;RowStore
1485896095;34300;11;2309528;3004510;3292800;823200000;800904;ColumnStore
1485896096;34300;11;5284956;9340894;3292800;823200000;798432;RowStore
1485896098;34300;12;2304590;5074954;3292800;823200000;800656;ColumnStore
1485896100;34300;12;6388405;12060885;3292800;823200000;800720;RowStore
1485896101;34300;13;2365829;5623732;3292800;823200000;800168;ColumnStore
1485896102;34300;13;3980500;9715336;3292800;823200000;799832;RowStore
1485896104;34300;14;2555840;3051965;3292800;823200000;801496;ColumnStore
1485896105;34300;14;4074685;7775688;3292800;823200000;801248;RowStore
