Timestamp;N;Repetition;Q1TimeInNanoSec_SingleThreaded;Q2TimeInNanoSec_SingleThreaded;Q3TimeInNanoSec_SingleThreaded;Q1TimeInNanoSec_MultiThreaded;Q2TimeInNanoSec_MultiThreaded;Q3TimeInNanoSec_MultiThreaded;CustomerTableInByte;ItemTableInByte;JoinTableInByte;Q1NumRecordsToProcess;Q1NumRecordToProcessedRefSize;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Q2NumRecordToProcessedRefSize;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Q3NumRecordToProcessedRefSize;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type
1486145808;300000;14;975;2086287;152968;244550;2268592;398994;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.461539;0.008628;21.965378;0.009814;0.007934;8.421180;ColumnStore
1486145808;300000;14;1748;1401695;368919;205076;1305551;596887;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;3.432494;0.012842;22.769226;0.029257;0.013787;14.073014;RowStore
1486145808;300000;15;1062;1836356;149893;254070;2012222;686794;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.259887;0.009802;22.415989;0.009446;0.008945;4.892297;ColumnStore
1486145808;300000;15;1264;1539121;402485;341589;1899831;697078;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.746835;0.011695;20.870342;0.017565;0.009475;12.050301;RowStore
1486145808;300000;16;828;1726278;134617;240470;2156084;375805;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.898551;0.010427;24.959700;0.009980;0.008348;8.940807;ColumnStore
1486145809;300000;16;893;1295218;388679;210775;1796437;648425;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;6.718925;0.013897;21.611664;0.028466;0.010020;12.954466;RowStore
1486145809;300000;17;878;1808307;156143;454125;2180980;402417;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.733485;0.009954;21.518736;0.005285;0.008253;8.349547;ColumnStore
1486145809;300000;17;1178;1518929;376480;427573;1566906;508690;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.093379;0.011850;22.311941;0.014033;0.011488;16.513002;RowStore
1486145809;300000;18;664;2059843;135802;298507;2151062;542628;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.614458;0.008739;24.741905;0.008040;0.008368;6.192087;ColumnStore
1486145809;300000;18;1631;1699258;402355;1751502;1894566;582090;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;3.678725;0.010593;20.877085;0.003426;0.009501;14.430758;RowStore
1486145809;300000;19;1438;2210831;137237;183322;2563316;353318;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;1.668985;0.008142;24.483192;0.013092;0.007022;9.509847;ColumnStore
1486145809;300000;19;834;1395067;378120;603668;1690902;742245;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.194245;0.012903;22.215170;0.009939;0.010645;11.317018;RowStore
1486145810;300000;20;749;1774176;139730;245844;1967011;473443;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.204273;0.010146;24.046375;0.009762;0.009151;7.096947;ColumnStore
1486145810;300000;20;1045;1325020;371145;173471;1577246;625635;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.741627;0.013585;22.632664;0.034588;0.011412;13.426359;RowStore
1486145810;300000;21;970;1828851;141643;691001;2330378;434436;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.474227;0.009842;23.721609;0.003473;0.007724;7.734166;ColumnStore
1486145810;300000;21;1025;1580130;428565;721306;1677499;1144851;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.853659;0.011391;19.600294;0.008318;0.010730;7.337199;RowStore
1486145810;300000;22;607;1948450;172275;336915;1949055;230178;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.953872;0.009238;19.503700;0.007123;0.009235;14.597398;ColumnStore
1486145810;300000;22;1507;1878311;453834;1731864;1378105;787739;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;3.981420;0.009583;18.508968;0.003464;0.013061;10.663430;RowStore
1486145810;300000;23;935;1754664;169649;301419;1999773;398398;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.566845;0.010258;19.805597;0.007962;0.009001;8.433777;ColumnStore
1486145811;300000;23;836;1309407;351752;187213;2212829;654599;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.177033;0.013747;23.880459;0.032049;0.008134;12.832283;RowStore
1486145811;300000;24;711;1776566;136281;489226;2088458;576927;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.375528;0.010132;24.654942;0.004906;0.008619;5.823961;ColumnStore
1486145811;300000;24;835;1454110;342609;590373;1855265;685229;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.185629;0.012379;24.517742;0.010163;0.009702;12.258675;RowStore
1486145811;300000;25;904;1818837;135163;371321;2321804;462241;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.654867;0.009896;24.858873;0.006463;0.007753;7.268935;ColumnStore
1486145811;300000;25;1092;1396980;339715;508641;1538715;720844;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.494505;0.012885;24.726606;0.011796;0.011698;11.653006;RowStore
1486145811;300000;26;966;2189949;165948;262050;2069544;428936;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.484472;0.008219;20.247305;0.009159;0.008698;7.833336;ColumnStore
1486145811;300000;26;1174;1752522;380776;2053348;1645745;669416;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.110733;0.010271;22.060213;0.002922;0.010937;12.548251;RowStore
1486145812;300000;27;1023;1788094;140135;300237;1945910;353553;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.346041;0.010067;23.976879;0.007994;0.009250;9.503525;ColumnStore
1486145812;300000;27;1001;1408408;370844;321954;2144687;608556;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.994006;0.012780;22.651033;0.018636;0.008393;13.803167;RowStore
1486145812;300000;28;900;2000179;139725;337242;2058552;532703;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.666667;0.008999;24.047235;0.007117;0.008744;6.307455;ColumnStore
1486145812;300000;28;986;1390066;367461;280168;1926823;737559;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;6.085193;0.012949;22.859568;0.021416;0.009342;11.388919;RowStore
1486145812;300000;29;767;1886595;134905;252332;2265564;464311;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.129074;0.009541;24.906416;0.009511;0.007945;7.236529;ColumnStore
1486145812;300000;29;1208;1414749;343693;423816;1500951;662428;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.966888;0.012723;24.440414;0.014157;0.011992;12.680623;RowStore
1486145813;300000;30;672;2130861;141859;450304;2280525;359632;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.571429;0.008447;23.685492;0.005330;0.007893;9.342884;ColumnStore
1486145813;300000;30;1500;2213673;443241;1589365;1559649;545528;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.000000;0.008131;18.951315;0.003775;0.011541;15.397925;RowStore
1486145813;300000;31;961;1846472;133811;360363;2024209;299494;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.497399;0.009748;25.110043;0.006660;0.008892;11.218923;ColumnStore
1486145813;300000;31;1197;1286336;343674;259157;2134260;675741;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.012532;0.013993;24.441767;0.023152;0.008434;12.430798;RowStore
1486145813;300000;32;964;1927106;138448;236766;2247739;505377;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.489627;0.009340;24.269039;0.010137;0.008008;6.648502;ColumnStore
1486145813;300000;32;877;1355587;351382;229289;2049901;719527;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;6.841506;0.013278;23.905605;0.026168;0.008781;11.674335;RowStore
1486145813;300000;33;1177;1760476;153689;347662;2052880;301185;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.039083;0.010225;21.862331;0.006903;0.008768;11.155933;ColumnStore
1486145814;300000;33;1405;1547452;339432;231756;1136583;537282;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.270463;0.011632;24.747223;0.025889;0.015837;15.634248;RowStore
1486145814;300000;34;898;2745896;152176;273154;1770520;394618;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.672606;0.006555;22.079697;0.008786;0.010167;8.514564;ColumnStore
1486145814;300000;34;1282;1694432;384861;1467616;1617842;501467;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.680188;0.010623;21.826061;0.004088;0.011126;16.750853;RowStore
1486145814;300000;35;987;1869290;221595;257384;2208007;468461;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.431611;0.009629;15.162797;0.009325;0.008152;7.172422;ColumnStore
1486145814;300000;35;827;1340782;364246;245363;1558624;782781;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.255139;0.013425;23.061337;0.024454;0.011549;10.730970;RowStore
1486145814;300000;36;924;1855784;197096;426654;2385760;474329;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.597403;0.009699;17.047529;0.005625;0.007545;7.083691;ColumnStore
1486145814;300000;36;1032;1337793;339889;277343;1505485;676722;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.813954;0.013455;24.713949;0.021634;0.011956;12.412778;RowStore
1486145815;300000;37;898;1682915;151880;445905;2619191;436673;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.672606;0.010696;22.122728;0.005382;0.006872;7.694545;ColumnStore
1486145815;300000;37;1152;1492930;362208;318627;2152442;723990;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.208333;0.012057;23.191093;0.018831;0.008363;11.602370;RowStore
1486145815;300000;38;700;2112777;153069;333939;2141690;435909;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.428572;0.008520;21.950884;0.007187;0.008405;7.708031;ColumnStore
1486145815;300000;38;1342;1269753;370035;755937;1615213;643204;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.470939;0.014176;22.700554;0.007937;0.011144;13.059619;RowStore
1486145815;300000;39;847;1842817;135639;389413;2274747;654907;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.833530;0.009768;24.771637;0.006163;0.007913;5.130499;ColumnStore
1486145815;300000;39;758;1290490;341519;310611;5926961;650837;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.915567;0.013948;24.595997;0.019317;0.003037;12.906456;RowStore
1486145815;300000;40;1181;1768699;184578;218493;2513992;183196;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.032176;0.010177;18.203686;0.010984;0.007160;18.341013;ColumnStore
1486145816;300000;40;770;1423117;368025;278226;1840602;668824;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.792208;0.012648;22.824535;0.021565;0.009779;12.559358;RowStore
1486145816;300000;41;1096;1933393;143199;147103;2098561;336636;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.189781;0.009310;23.463852;0.016315;0.008577;9.981107;ColumnStore
1486145816;300000;41;1117;1406743;390165;263755;2379906;719182;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.371531;0.012796;21.529352;0.022748;0.007563;11.679935;RowStore
1486145816;300000;42;626;2061524;154616;438404;2070614;288520;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.833866;0.008731;21.731256;0.005474;0.008693;11.645639;ColumnStore
1486145816;300000;42;1230;1344205;388817;327208;1515370;818224;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.878049;0.013391;21.603994;0.018337;0.011878;10.266137;RowStore
1486145816;300000;43;894;1799894;135496;491789;2183350;342590;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.684564;0.010001;24.797781;0.004880;0.008244;9.807642;ColumnStore
1486145816;300000;43;825;1311994;415115;286060;2243123;714181;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.272728;0.013720;20.235355;0.020975;0.008025;11.761724;RowStore
1486145817;300000;44;1186;1865715;156963;334260;2713079;399246;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.023609;0.009648;21.406319;0.007180;0.006635;8.415864;ColumnStore
1486145817;300000;44;1172;1399679;349559;293826;1894033;825775;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.119454;0.012860;24.030277;0.020420;0.009504;10.172262;RowStore
1486145817;300000;45;1159;1936282;212052;701912;2406637;315441;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.070751;0.009296;15.845170;0.003419;0.007479;10.651754;ColumnStore
1486145817;300000;45;1303;1392090;353991;299670;1604588;630491;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.604758;0.012930;23.729416;0.020022;0.011218;13.322949;RowStore
1486145817;300000;46;849;2002024;136112;286071;2696676;744160;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.826855;0.008991;24.685555;0.008390;0.006675;4.515158;ColumnStore
1486145817;300000;46;1285;1787763;375380;1491155;1502106;632106;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.669261;0.010068;22.377323;0.004024;0.011983;13.288911;RowStore
1486145817;300000;47;1062;1767310;151326;628610;2704957;325351;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.259887;0.010185;22.203718;0.003818;0.006654;10.327309;ColumnStore
1486145818;300000;47;863;1380002;364820;311026;1552533;622701;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;6.952491;0.013043;23.025053;0.019291;0.011594;13.489619;RowStore
1486145818;300000;48;878;1859244;141568;279059;2392830;343459;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.733485;0.009681;23.734177;0.008600;0.007522;9.782827;ColumnStore
1486145818;300000;48;810;1437849;368144;303290;1449768;594598;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.407407;0.012519;22.817158;0.019783;0.012416;14.127192;RowStore
1486145818;300000;49;921;1736699;142835;271992;2212186;550638;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.605863;0.010364;23.523647;0.008824;0.008137;6.102013;ColumnStore
1486145818;300000;49;1094;1460783;400277;264859;2350500;885166;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.484461;0.012322;20.985466;0.022654;0.007658;9.489745;RowStore
1486145821;4040000;0;3950;9912963;2452186;476635;8752949;2480606;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;0.607595;0.001816;18.452108;0.005035;0.002056;18.240704;ColumnStore
1486145823;4040000;0;4439;2062984;5078931;662985;2041162;4957407;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;1.351656;0.008725;22.272404;0.009050;0.008819;22.818380;RowStore
1486145825;4040000;1;2784;8875531;2449912;590616;6777400;3034543;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;0.862069;0.002028;18.469234;0.004064;0.002656;14.910977;ColumnStore
1486145827;4040000;1;4156;2798189;5113314;181356;3744793;5103230;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;1.443696;0.006433;22.122639;0.033084;0.004807;22.166353;RowStore
1486145829;4040000;2;1846;7987998;2292437;550218;5137466;2548396;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.300108;0.002253;19.737947;0.004362;0.003504;17.755484;ColumnStore
1486145831;4040000;2;4175;1826359;5823350;628145;1748045;5618676;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;1.437126;0.009856;19.425243;0.009552;0.010297;20.132856;RowStore
1486145833;4040000;3;2547;6252004;2302167;378567;4789510;2576594;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;0.942285;0.002879;19.654526;0.006340;0.003758;17.561169;ColumnStore
1486145835;4040000;3;2504;3391694;5072517;451676;2199872;5045584;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;2.396166;0.005307;22.300566;0.013284;0.008182;22.419605;RowStore
1486145837;4040000;4;1562;6764070;2288441;576592;4754092;2358262;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.536492;0.002661;19.772413;0.004162;0.003786;19.187012;ColumnStore
1486145839;4040000;4;2711;1771976;5243347;215347;1973502;5063399;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;2.213206;0.010158;21.574005;0.027862;0.009121;22.340723;RowStore
1486145841;4040000;5;1510;7015587;2158188;350278;4887720;3243758;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.589404;0.002566;20.965736;0.006852;0.003683;13.949253;ColumnStore
1486145843;4040000;5;1261;1642380;5021443;799663;1900422;4719726;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;4.758129;0.010960;22.527388;0.007503;0.009472;23.967493;RowStore
1486145845;4040000;6;1590;6707298;2829511;835896;6939173;2664308;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.509434;0.002684;15.991457;0.002871;0.002594;16.983023;ColumnStore
1486145847;4040000;6;1530;1869685;5912947;327907;2506153;5416915;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;3.921569;0.009627;19.130899;0.018298;0.007182;20.882734;RowStore
1486145849;4040000;7;1332;6793594;2338974;152037;4592910;3006349;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.801802;0.002650;19.345234;0.015786;0.003919;15.050815;ColumnStore
1486145851;4040000;7;3863;2149458;5475172;473126;1803088;5623460;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;1.553197;0.008374;20.660538;0.012682;0.009983;20.115730;RowStore
1486145853;4040000;8;1262;6843526;2846974;397352;4884249;2737949;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.901743;0.002630;15.893367;0.006040;0.003685;16.526241;ColumnStore
1486145855;4040000;8;1256;1611296;4980503;456678;1952736;5135036;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;4.777070;0.011171;22.712564;0.013138;0.009218;22.029057;RowStore
1486145857;4040000;9;1542;6418760;2303956;329614;4961189;2894574;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.556420;0.002804;19.639263;0.007281;0.003628;15.632007;ColumnStore
1486145859;4040000;9;1847;2440971;5285253;3443115;2637415;5102925;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;3.248511;0.007374;21.402948;0.001743;0.006825;22.167677;RowStore
1486145861;4040000;10;1334;7284590;2244089;283255;4475944;2543316;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.799101;0.002471;20.163193;0.008473;0.004021;17.790947;ColumnStore
1486145863;4040000;10;2985;1657525;5308016;407341;1962338;5554238;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;2.010050;0.010860;21.311163;0.014730;0.009173;20.366430;RowStore
1486145865;4040000;11;1366;6723713;2247738;244759;4399023;2507679;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.756955;0.002677;20.130461;0.009806;0.004092;18.043777;ColumnStore
1486145867;4040000;11;1335;1643278;5416160;311253;2047024;4987778;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;4.494382;0.010954;20.885645;0.019277;0.008793;22.679436;RowStore
1486145868;4040000;12;1579;6448713;2318070;573967;5241273;3197429;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.519949;0.002791;19.519688;0.004181;0.003434;14.151370;ColumnStore
1486145870;4040000;12;1688;1875632;5162040;122109;1974371;5235110;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;3.554502;0.009597;21.913818;0.049136;0.009117;21.607950;RowStore
1486145872;4040000;13;1243;6815138;2182647;396694;4569439;2441265;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.930813;0.002641;20.730793;0.006050;0.003939;18.534655;ColumnStore
1486145874;4040000;13;3770;1556587;5338465;310501;1356844;4594048;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;1.591512;0.011564;21.189611;0.019324;0.013266;24.623163;RowStore
1486145876;4040000;14;1325;6861384;2180348;689244;5917773;2435682;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.811321;0.002623;20.752651;0.003482;0.003042;18.577137;ColumnStore
1486145878;4040000;14;1303;1639903;5834330;236600;1854332;4836123;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;4.604758;0.010976;19.388687;0.025359;0.009707;23.390636;RowStore
1486145880;4040000;15;1539;6393289;2352410;341766;5239649;2433599;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.559454;0.002815;19.234743;0.007022;0.003435;18.593039;ColumnStore
1486145882;4040000;15;1631;2322392;5246965;3196394;1896317;5026300;452480000;90496000;1200;150;150;8;32;150;8;112;2828000;8;32;3.678725;0.007751;21.559128;0.001877;0.009492;22.505619;RowStore
1486145884;4040000;16;1411;6739078;2158303;612808;5655181;3030894;452480000;90496000;1200;150;150;8;8;150;8;112;2828000;8;8;1.700921;0.002671;20.964619;0.003916;0.003183;14.928928;ColumnStore
