Timestamp;N;Repetition;Q1TimeInNanoSec_SingleThreaded;Q2TimeInNanoSec_SingleThreaded;Q3TimeInNanoSec_SingleThreaded;Q1TimeInNanoSec_MultiThreaded;Q2TimeInNanoSec_MultiThreaded;Q3TimeInNanoSec_MultiThreaded;CustomerTableInByte;ItemTableInByte;JoinTableInByte;Q1NumRecordsToProcess;Q1NumRecordToProcessedRefSize;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Q2NumRecordToProcessedRefSize;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Q3NumRecordToProcessedRefSize;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type
1486141362;300000;0;1196;3724185;246119;194110;2931432;462942;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;ColumnStore
1486141362;300000;0;1457;3196014;443793;496900;2928131;616439;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;RowStore
1486141362;300000;1;839;3345482;151541;348341;3019882;453312;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;ColumnStore
1486141362;300000;1;1349;1430344;350686;186831;1802991;687672;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;RowStore
1486141362;300000;2;1432;3706561;139698;156183;3079699;443493;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;ColumnStore
1486141362;300000;2;1292;1390726;351717;178536;1649352;689984;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;RowStore
1486141363;300000;3;954;3286630;136877;571832;3284462;449226;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;ColumnStore
