Timestamp;N;Repetition;Q1TimeInNanoSec_SingleThreaded;Q2TimeInNanoSec_SingleThreaded;Q3TimeInNanoSec_SingleThreaded;Q1TimeInNanoSec_MultiThreaded;Q2TimeInNanoSec_MultiThreaded;Q3TimeInNanoSec_MultiThreaded;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1486130345;15290000;10;1539;2342494;19212426;2308435;2099836;16403191;1467840000;256872000;1208;150;RowStore
1486130353;15290000;11;1420;7292164;8292345;464721;5687820;7558706;1467840000;256872000;1208;150;ColumnStore
1486130361;15290000;11;1441;2183002;19093444;2321855;2008903;16704975;1467840000;256872000;1208;150;RowStore
1486130368;15290000;12;1393;7182194;8351872;731047;5705273;7765035;1467840000;256872000;1208;150;ColumnStore
1486130377;15290000;12;1538;2329945;21203435;2285524;1714137;17057088;1467840000;256872000;1208;150;RowStore
1486130385;15290000;13;1495;7335064;8457416;425530;5057126;7104347;1467840000;256872000;1208;150;ColumnStore
1486130392;15290000;13;1477;2207320;19616155;2429655;1806290;15987639;1467840000;256872000;1208;150;RowStore
1486130400;15290000;14;1264;7343089;8389900;744599;5806395;8217052;1467840000;256872000;1208;150;ColumnStore
1486130407;15290000;14;1385;2056502;19276643;2211479;1988764;16447726;1467840000;256872000;1208;150;RowStore
1486130424;30280000;0;4901;12037607;18907056;2688023;4732620;13780797;2906880000;508704000;1208;150;ColumnStore
1486130439;30280000;0;9257;1841431;46429198;291597;1947949;35585405;2906880000;508704000;1208;150;RowStore
1486130454;30280000;1;1338;6880999;16586880;346065;4679384;13993198;2906880000;508704000;1208;150;ColumnStore
1486130468;30280000;1;1879;1737315;39663596;294119;2101645;33050331;2906880000;508704000;1208;150;RowStore
1486130484;30280000;2;1345;6659399;16432920;469431;4903858;13244450;2906880000;508704000;1208;150;ColumnStore
1486130499;30280000;2;1631;1718498;38527063;404202;2046826;32761992;2906880000;508704000;1208;150;RowStore
