timestamp;NumberOfCustomers;CurrentRepetition;DurationQ1SingleThreaded;DurationQ2SingleThreaded;DurationQ3SingleThreaded;DurationQ1MultiThreaded;DurationQ2MultiThreaded;DurationQ3MultiThreaded;dataSetSizeCustomersInByte;dataSetSizeItemsInByte;dataSetSizeJoinTableInByte;NumberOfRecordsToProcess;Q1NumRecordsToProcess;Unset1;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Unset2;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Unset3;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type;Platform;ProcessVmSize
1486170322;1000000;7;1485;1513399;1240044;315074;1781144;1635149;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.232323;0.011101;18.063875;0.015235;0.009432;13.699057;RowStore;Host;0.154297
1486170323;1000000;7;0;2810173;384354;0;2026517;324417;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.927599;14.569901;0.000000;27.633621;17.261734;ColumnStore;Device;0.154297
1486170323;1000000;8;1309;3808198;495746;301145;3786007;1034890;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.916730;0.004412;11.296107;0.003985;0.004437;5.411203;ColumnStore;Host;0.154297
1486170324;1000000;8;1614;1575696;1278890;323599;1860256;1601986;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;2.973978;0.010662;17.515188;0.014833;0.009031;13.982643;RowStore;Host;0.154297
1486170324;1000000;8;0;2807254;380598;0;2027652;291363;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.948320;14.713687;0.000000;27.618153;19.220011;ColumnStore;Device;0.154297
1486170325;1000000;9;5342;3814770;489855;236595;3698132;1129670;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.224635;0.004404;11.431953;0.005072;0.004543;4.957200;ColumnStore;Host;0.154297
1486170325;1000000;9;1506;1597559;1245046;653476;1671151;1617845;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.187251;0.010516;17.991302;0.007345;0.010053;13.845578;RowStore;Host;0.154297
1486170326;1000000;9;0;2804164;396147;0;2016280;292155;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.970301;14.136167;0.000000;27.773920;19.167908;ColumnStore;Device;0.154297
1486170327;1000000;10;1735;3787110;485257;177397;3797068;1021085;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.691643;0.004436;11.540276;0.006764;0.004424;5.484362;ColumnStore;Host;0.154297
1486170327;1000000;10;1741;1553838;1368712;324165;1945713;1573655;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;2.757036;0.010812;16.365749;0.014807;0.008634;14.234377;RowStore;Host;0.154297
1486170328;1000000;10;0;2794409;384050;0;2018716;292496;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;20.040016;14.581433;0.000000;27.740406;19.145561;ColumnStore;Device;0.154297
1486170328;1000000;11;1322;3866934;491708;339722;3862271;932937;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.907716;0.004345;11.388873;0.003532;0.004350;6.002549;ColumnStore;Host;0.154297
1486170329;1000000;11;1367;1677668;1286262;245050;1801086;1563535;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.511339;0.010014;17.414804;0.019588;0.009328;14.326510;RowStore;Host;0.154297
1486170329;1000000;11;0;2867018;381698;0;2016979;292353;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.532490;14.671285;0.000000;27.764296;19.154924;ColumnStore;Device;0.154297
1486170330;1000000;12;1373;3890814;656887;425284;3394302;1147802;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.873999;0.004318;8.525058;0.002822;0.004949;4.878890;ColumnStore;Host;0.154297
1486170330;1000000;12;1351;1548127;1341543;369696;1982136;1757460;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.552924;0.010852;16.697189;0.012984;0.008476;12.745667;RowStore;Host;0.154297
1486170331;1000000;12;0;2809528;381648;0;2023888;291719;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.932175;14.673206;0.000000;27.669516;19.196554;ColumnStore;Device;0.154297
1486170332;1000000;13;1886;4367284;534125;269053;3945832;872720;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.636267;0.003847;10.484436;0.004460;0.004258;6.416720;ColumnStore;Host;0.154297
1486170332;1000000;13;1467;1630451;1306359;267683;1832312;1683912;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.271984;0.010304;17.146894;0.017932;0.009169;13.302358;RowStore;Host;0.154297
1486170333;1000000;13;0;2795911;380603;0;2032617;291460;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;20.029251;14.713493;0.000000;27.550690;19.213614;ColumnStore;Device;0.154297
1486170333;1000000;14;1337;3901891;676934;180307;4003117;906672;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.897532;0.004306;8.272593;0.006655;0.004197;6.176434;ColumnStore;Host;0.154297
1486170334;1000000;14;1529;1644829;1284444;252095;1696682;1428463;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.139307;0.010214;17.439451;0.019040;0.009902;15.681190;RowStore;Host;0.154297
1486170334;1000000;14;0;2861181;380922;0;2024141;291210;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.572338;14.701172;0.000000;27.666059;19.230108;ColumnStore;Device;0.154297
1486170336;3466666;0;1265;5990494;1825937;301897;6300906;2747406;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.948617;0.002804;10.631982;0.003975;0.002666;7.066057;ColumnStore;Host;0.412109
1486170337;3466666;0;2127;1610031;4420169;441811;1846530;4431795;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.256700;0.010435;17.567949;0.010864;0.009098;17.521866;RowStore;Host;0.412109
1486170339;3466666;0;0;9141504;1016374;0;3403463;464086;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.236471;19.100574;0.000000;57.039928;41.831314;ColumnStore;Device;0.412109
1486170341;3466666;1;1557;6013867;1898764;192547;5707511;2765218;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.770713;0.002794;10.224192;0.006232;0.002943;7.020542;ColumnStore;Host;0.412109
1486170342;3466666;1;2006;1626168;4375547;270378;1989164;4269111;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.392822;0.010331;17.747108;0.017753;0.008446;18.189575;RowStore;Host;0.412109
1486170344;3466666;1;0;9126991;1020439;0;3426221;445583;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.270239;19.024487;0.000000;56.661053;43.568378;ColumnStore;Device;0.412109
1486170346;3466666;2;1446;5968954;1944261;380386;5105860;2473837;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.829876;0.002815;9.984939;0.003155;0.003290;7.847456;ColumnStore;Host;0.412109
1486170347;3466666;2;2138;1563379;4427009;765401;1877457;4140169;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.245089;0.010746;17.540808;0.006271;0.008948;18.756073;RowStore;Host;0.412109
1486170349;3466666;2;0;9143600;1016891;0;3426419;438906;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.231602;19.090864;0.000000;56.657776;44.231174;ColumnStore;Device;0.412109
1486170351;3466666;3;1473;6051514;1842564;284599;6090195;2638600;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.814664;0.002776;10.536040;0.004216;0.002759;7.357435;ColumnStore;Host;0.412109
1486170352;3466666;3;2128;1629461;4362323;414497;1962934;4279251;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.255639;0.010310;17.800909;0.011580;0.008559;18.146471;RowStore;Host;0.412109
1486170354;3466666;3;0;9137983;1019094;0;3434432;443262;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.244652;19.049595;0.000000;56.525585;43.796509;ColumnStore;Device;0.412109
1486170356;3466666;4;1325;6042734;1911695;289466;5485415;2703871;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.905660;0.002780;10.155034;0.004146;0.003063;7.179827;ColumnStore;Host;0.412109
1486170357;3466666;4;2065;1564793;4605226;190989;1699397;4046594;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.324455;0.010736;16.861998;0.025132;0.009886;19.189796;RowStore;Host;0.412109
1486170361;3466666;4;0;9142023;1016239;0;3416224;454476;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.235266;19.103111;0.000000;56.826862;42.715851;ColumnStore;Device;0.412109
1486170363;3466666;5;1385;6083678;1842028;255270;6939370;2383793;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.866426;0.002761;10.539105;0.004701;0.002421;8.143882;ColumnStore;Host;0.412109
1486170364;3466666;5;1842;1576320;4491919;515671;1947191;4900915;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.605863;0.010658;17.287334;0.009308;0.008628;15.844656;RowStore;Host;0.412109
1486170366;3466666;5;0;9145317;1020039;0;3426047;440843;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.227617;19.031948;0.000000;56.663929;44.036831;ColumnStore;Device;0.412109
1486170368;3466666;6;1378;6043760;1990477;299019;5854747;2322344;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.870827;0.002780;9.753103;0.004013;0.002869;8.359367;ColumnStore;Host;0.412109
1486170369;3466666;6;2027;1644216;4468549;438371;1986486;4796131;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.368032;0.010218;17.377747;0.010950;0.008457;16.190823;RowStore;Host;0.412109
1486170371;3466666;6;0;9144817;1022425;0;3464456;443504;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.228779;18.987532;0.000000;56.035721;43.772610;ColumnStore;Device;0.412109
1486170373;3466666;7;1332;5947440;1952637;295997;4615488;2858451;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.900901;0.002825;9.942108;0.004054;0.003640;6.791555;ColumnStore;Host;0.412109
1486170374;3466666;7;1992;1652762;4486145;373129;1969392;5226541;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.409639;0.010165;17.309586;0.012864;0.008531;14.857496;RowStore;Host;0.412109
1486170376;3466666;7;0;9149363;1016557;0;3432679;437836;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.218229;19.097137;0.000000;56.554451;44.339268;ColumnStore;Device;0.412109
1486170378;3466666;8;1450;6049386;1939155;221274;4999496;2481590;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.827586;0.002777;10.011230;0.005423;0.003360;7.822939;ColumnStore;Host;0.412109
1486170379;3466666;8;2117;1632102;4358587;270393;1934957;4319687;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.267360;0.010293;17.816168;0.017752;0.008682;17.976606;RowStore;Host;0.412109
1486170381;3466666;8;0;9177469;1052822;0;3461036;437700;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.153250;18.439325;0.000000;56.091091;44.353046;ColumnStore;Device;0.412109
1486170383;3466666;9;1503;6077186;2079398;238457;6110206;2837327;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.798403;0.002764;9.336033;0.005032;0.002749;6.842118;ColumnStore;Host;0.412109
1486170385;3466666;9;1973;1582549;4417988;464001;1999790;5111871;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.432843;0.010616;17.576624;0.010345;0.008401;15.190782;RowStore;Host;0.412109
1486170387;3466666;9;0;9147384;1017089;0;3428007;458505;388266592;77653312;19413328;2426666;0;0;0;2426666;0;80;2426666;0;8;0.000000;21.222818;19.087147;0.000000;56.631531;42.340492;ColumnStore;Device;0.412109
1486170388;3466666;10;1428;5947488;1881238;289354;5993467;2361135;388266592;77653312;1200;150;150;0;8;150;0;112;2426666;0;8;0.840336;0.002825;10.319443;0.004147;0.002803;8.222032;ColumnStore;Host;0.412109
1486170390;3466666;10;2121;1652895;4552930;410729;1845834;4861129;388266592;77653312;1200;150;150;0;32;150;0;112;2426666;0;32;2.263083;0.010164;17.055677;0.011687;0.009102;15.974337;RowStore;Host;0.412109
